"(0, 0.866232204711494)"
"(222, 0.914669758551692)"
"(223, 0.9383437162023138)"
"(224, 0.9415446265492852)"
"(225, 0.9615236030713891)"
"(226, 0.8285072456517321)"
"(227, 0.7209607414587915)"
"(228, 0.9441614414989834)"
"(229, 0.9169352183166642)"
"(230, 0.9708960550494049)"
"(231, 0.9634351091943326)"
"(232, 0.8908390274783472)"
"(233, 0.922752173927979)"
"(234, 0.9561056124130187)"
"(235, 0.9477883968982531)"
"(236, 0.9757382626956063)"
"(237, 0.9371303658041886)"
"(238, 0.8723336173495105)"
"(239, 0.9008918090348411)"
"(240, 0.9417543525679918)"
"(241, 0.9082395304564442)"
"(242, 0.9548890684050156)"
"(243, 0.9141606105577471)"
"(244, 0.9608342516082208)"
"(245, 0.9102719927111893)"
"(246, 0.9445453992220374)"
"(247, 0.8992730737473327)"
"(248, 0.9362923811352898)"
"(249, 0.8458047545629517)"
"(250, 0.9567376336701604)"
"(251, 0.948247372996685)"
"(252, 0.9262877197686609)"
"(253, 0.8958019601892732)"
"(254, 0.9196150467320372)"
"(255, 0.9375358924227186)"
"(256, 0.9325208173893673)"
"(257, 0.8507194947124466)"
"(258, 0.9189438090648626)"
"(259, 0.9103639438861758)"
"(260, 0.8518226252875457)"
"(261, 0.9210385153874177)"
"(262, 0.9633662521599197)"
"(263, 0.906320569971859)"
"(264, 0.9415414251828397)"
"(265, 0.8776672272520483)"
"(266, 0.7772752990819976)"
"(267, 0.8890334244996736)"
"(268, 0.9661906138159816)"
"(269, 0.9077766514653954)"
"(270, 0.9001441214656111)"
"(271, 0.8148974963378319)"
"(272, 0.9586900001261709)"
"(273, 0.8851243295540671)"
"(274, 0.9464983421560245)"
"(275, 0.9638999041825002)"
"(276, 0.9039989919757874)"
"(277, 0.8315099772826942)"
"(278, 0.950784388560698)"
"(279, 0.9267319541595457)"
"(280, 0.906339209478683)"
"(281, 0.9660237204688467)"
"(282, 0.9392285177684107)"
"(283, 0.903157079404226)"
"(284, 0.9613934371531346)"
"(285, 0.9482670127672148)"
"(286, 0.88878557211305)"
"(287, 0.8690183551043936)"
"(288, 0.8998811234654883)"
"(289, 0.9482733941307951)"
"(290, 0.9674140671047664)"
"(291, 0.8884175585733435)"
"(292, 0.9499073283666395)"
"(293, 0.9178408973198237)"
"(294, 0.9395532505308466)"
"(295, 0.9272937005514973)"
"(296, 0.9289306351291392)"
"(297, 0.9486236956301214)"
"(298, 0.8943166403472615)"
"(299, 0.9501355837321049)"
"(300, 0.9126463953650252)"
"(301, 0.9739687929121039)"
"(302, 0.9429101597451814)"
"(303, 0.9496255639861664)"
"(304, 0.9665094379651926)"
"(305, 0.9512416494634723)"
"(306, 0.9281165023533934)"
"(307, 0.9308603667481831)"
"(308, 0.8535023313210278)"
"(309, 0.7801554471203738)"
"(310, 0.9292598170323716)"
"(311, 0.9136865706925831)"
"(312, 0.9538333172289911)"
"(313, 0.952213650981174)"
"(314, 0.9390160543172229)"
"(315, 0.934505051853458)"
"(316, 0.9188485361384129)"
"(317, 0.9244715657685305)"
"(318, 0.9045891269573542)"
"(319, 0.95662111317109)"
"(320, 0.885068459449743)"
"(321, 0.9097541164065792)"
"(322, 0.9617592106941465)"
"(323, 0.9267247906854591)"
"(324, 0.94592129869738)"
"(325, 0.8148283778427868)"
"(326, 0.9837937282424701)"
"(327, 0.9576594020809457)"
"(328, 0.979913219873295)"
"(329, 0.9607150963697034)"
"(330, 0.9431897771753798)"
"(331, 0.9211887208754517)"
"(332, 0.9224401086452925)"
"(333, 0.9152219814307426)"
"(334, 0.8816604280128268)"
"(335, 0.9379236492614226)"
"(336, 0.9546831796165502)"
"(337, 0.914245305173094)"
"(338, 0.9276979145020654)"
"(339, 0.9055156398617852)"
"(340, 0.9579575359158037)"
"(341, 0.8595972175616701)"
"(342, 0.9216056316863921)"
"(343, 0.9355313028190034)"
"(344, 0.9393766873159245)"
"(345, 0.9679767926165849)"
"(346, 0.9520516102851646)"
"(347, 0.8628020434817807)"
"(348, 0.9088859465799441)"
"(349, 0.9049090398500348)"
"(350, 0.9254898356865437)"
"(351, 0.9673535198948481)"
"(352, 0.9011858355031984)"
"(353, 0.9592455163458669)"
"(354, 0.9399080075753693)"
"(355, 0.9008165650399068)"
"(356, 0.8841135007131264)"
"(357, 0.9024279359732152)"
"(358, 0.8914917264433083)"
"(359, 0.936699987715415)"
"(360, 0.8785914856388986)"
"(361, 0.9668282839611912)"
"(362, 0.927664264648336)"
"(363, 0.9111638838353867)"
"(364, 0.8974374186743286)"
"(365, 0.9368139618911459)"
"(366, 0.9182336400891602)"
"(367, 0.7872526681445984)"
"(368, 0.9204729934562895)"
"(369, 0.9284728593225083)"
"(370, 0.9431951721780383)"
"(371, 0.961090102076977)"
"(372, 0.9190700392186774)"
"(373, 0.9231677210109899)"
"(374, 0.8095438768519115)"
"(375, 0.8948661015605527)"
"(376, 0.8450458404077843)"
"(377, 0.9547553120681115)"
"(378, 0.8638699553162884)"
"(379, 0.9678074753353103)"
"(380, 0.9644383457787253)"
"(381, 0.92173015895217)"
"(382, 0.9298903546898982)"
"(383, 0.9348791698266723)"
"(384, 0.9633643997783128)"
"(385, 0.9339564128525732)"
"(386, 0.9119164104583362)"
"(387, 0.9577000888792906)"
"(388, 0.8883448360095643)"
"(389, 0.8938832754526069)"
"(390, 0.9739786711950612)"
"(391, 0.9399554397732993)"
"(392, 0.954026603664558)"
"(393, 0.9631378486243518)"
"(394, 0.9108051628458449)"
"(395, 0.8938977859940398)"
"(396, 0.9372275151332828)"
"(397, 0.8045607907177801)"
"(398, 0.9311405301468412)"
"(399, 0.9580659341962833)"
"(400, 0.9593915923066451)"
"(401, 0.9085158305672417)"
"(402, 0.9652833908931446)"
"(403, 0.8552352470975261)"
"(404, 0.8908305340755304)"
"(405, 0.9716668409724966)"
"(406, 0.8904346929216318)"
"(407, 0.9427994934471906)"
"(408, 0.9430770873869235)"
"(409, 0.8320099897655461)"
"(410, 0.9640420446526574)"
"(411, 0.9425060663992236)"
"(412, 0.9455926035209871)"
"(413, 0.861978902680474)"
"(414, 0.9575385282391365)"
"(415, 0.8643414779095546)"
"(416, 0.8744802747662433)"
"(417, 0.7099817024240639)"
"(418, 0.8706334840566945)"
"(419, 0.9575903169139884)"
"(420, 0.8678222358039683)"
"(421, 0.953804626970452)"
"(422, 0.9109872151869998)"
"(423, 0.9605693827915075)"
"(424, 0.9148353499936143)"
"(425, 0.7532359729680196)"
"(426, 0.9377962418252453)"
"(427, 0.9225156168022022)"
"(428, 0.9506827466298752)"
"(429, 0.8508787396354357)"
"(430, 0.8925679709254082)"
"(431, 0.8896125771756965)"
"(432, 0.9290325685000401)"
"(433, 0.9529125236581093)"
"(434, 0.9387332578558167)"
"(435, 0.9436441001856557)"
"(436, 0.9559913162490934)"
"(437, 0.8868895404946842)"
"(438, 0.9559013380618677)"
"(439, 0.8514882545309655)"
"(440, 0.9368674614026474)"
"(441, 0.9601062962849485)"
"(442, 0.9707883521440774)"
"(443, 0.9344956409372027)"
"(444, 0.9042441650467886)"
"(445, 0.8946338917704726)"
"(446, 0.9420198758235876)"
"(447, 0.9565999459235832)"
"(448, 0.9336085972188422)"
"(449, 0.9622800647272092)"
"(450, 0.9342301627499646)"
"(451, 0.9514508900508377)"
"(452, 0.9597077698760109)"
"(453, 0.939215569776225)"
"(454, 0.957427554476259)"
"(455, 0.9423807173627021)"
"(456, 0.7119250924693827)"
"(457, 0.8661045133315469)"
"(458, 0.9452395896375226)"
"(459, 0.9525597203090406)"
"(460, 0.9054701367403095)"
"(461, 0.952522983775423)"
"(462, 0.9237977976128312)"
"(463, 0.9011377045750754)"
"(464, 0.9218604953740326)"
"(465, 0.7539097298802637)"
"(466, 0.9143406039360261)"
"(467, 0.8893501598299467)"
"(468, 0.9032879695665996)"
"(469, 0.9558883597998514)"
"(470, 0.9610748682304668)"
"(471, 0.95531214120184)"
"(472, 0.9586010147014576)"
"(473, 0.9375685997275813)"
"(474, 0.8161107458768613)"
"(475, 0.9404180467145354)"
"(476, 0.9344281368667168)"
"(477, 0.9569246575904851)"
"(478, 0.9543014718011343)"
"(479, 0.9611917657962521)"
"(480, 0.8598289146223456)"
"(481, 0.9551373757299099)"
"(482, 0.8339322813989272)"
"(483, 0.904909961390291)"
"(484, 0.8988706108114198)"
"(485, 0.9627975081388315)"
"(486, 0.9206796565542229)"
"(487, 0.9200125263291684)"
"(488, 0.9623773894862027)"
"(489, 0.9496730549528775)"
"(490, 0.8495696801142579)"
"(491, 0.9144030672899344)"
"(492, 0.8317635947983192)"
"(493, 0.9708211613452397)"
"(494, 0.9459572083079266)"
"(495, 0.9635208890393998)"
"(496, 0.9377137017000008)"
"(497, 0.9223515859052636)"
"(498, 0.905929522007525)"
"(499, 0.9185380464693904)"
"(500, 0.9543131138957563)"
"(501, 0.9627220172495945)"
"(502, 0.9597710011832327)"
"(503, 0.942865530887649)"
"(504, 0.936630408930246)"
"(505, 0.9370580673542123)"
"(506, 0.896985816086022)"
"(507, 0.9315981413985247)"
"(508, 0.9592054062255517)"
"(509, 0.9620768489432505)"
"(510, 0.943562927456093)"
"(511, 0.8930328959762)"
"(512, 0.9231782066710004)"
"(513, 0.9562194050409297)"
"(514, 0.8995877681239526)"
"(515, 0.8912525687959626)"
"(516, 0.9609318847638921)"
"(517, 0.8939932597434128)"
"(518, 0.9575081900198473)"
"(519, 0.8958924882864832)"
"(520, 0.9046765791011048)"
"(521, 0.9482421503055719)"
"(522, 0.9320349408767777)"
"(523, 0.9425287492472897)"
"(524, 0.944453660315275)"
"(525, 0.9597605367970704)"
"(526, 0.9550490668103226)"
"(527, 0.9300245009995038)"
"(528, 0.919635430485183)"
"(529, 0.9440046974309589)"
"(530, 0.9494036390482372)"
"(531, 0.9581820294833762)"
"(532, 0.93289183524314)"
"(533, 0.8976066135157359)"
"(534, 0.952432375210181)"
"(535, 0.9266249762837844)"
"(536, 0.8873900736340885)"
"(537, 0.9348985534042314)"
"(538, 0.9410523575938268)"
"(539, 0.8855962035440549)"
"(540, 0.9565349035997383)"
"(541, 0.8749898390412569)"
"(542, 0.9380482218823099)"
"(543, 0.8798849973840484)"
"(544, 0.9434192194171358)"
"(545, 0.8672584520636679)"
"(546, 0.9352281196806383)"
"(547, 0.8946618051786497)"
"(548, 0.8090424239573789)"
"(549, 0.9623614449298853)"
"(550, 0.87402076684652)"
"(551, 0.910484887152377)"
"(552, 0.9088451955361008)"
"(553, 0.9289729899296723)"
"(554, 0.9402883208904476)"
"(555, 0.9243378635714714)"
"(556, 0.9601694411558528)"
"(557, 0.9275816649736541)"
"(558, 0.9667019077648509)"
"(559, 0.8940652325782086)"
"(560, 0.8809941675926775)"
"(561, 0.79007070077966)"
"(562, 0.9165617406107778)"
"(563, 0.8987647112982036)"
"(564, 0.94419815099955)"
"(565, 0.8320799659959448)"
"(566, 0.9079113935859293)"
"(567, 0.9372134448714909)"
"(568, 0.9205042032820534)"
"(569, 0.8796687745416808)"
"(570, 0.9458742365941254)"
"(571, 0.9469462892254384)"
"(572, 0.9106929334323975)"
"(573, 0.8873562495553955)"
"(574, 0.9397058901020657)"
"(575, 0.8742213035880265)"
"(576, 0.9227107570168424)"
"(577, 0.8852082398050056)"
"(578, 0.9272346054452604)"
"(579, 0.9554055818585262)"
"(580, 0.9375157733640596)"
"(581, 0.9700294165366687)"
"(582, 0.936367372581181)"
"(583, 0.9143089423397409)"
"(584, 0.9381674520285798)"
"(585, 0.9685644074642833)"
"(586, 0.9551223026856835)"
"(587, 0.9309748534268363)"
"(588, 0.9444205294172267)"
"(589, 0.9278657317370104)"
"(590, 0.874807859419178)"
"(591, 0.9438216062254773)"
"(592, 0.9073048622991955)"
"(593, 0.9188753719765617)"
"(594, 0.9374862414836117)"
"(595, 0.9178757517283777)"
"(596, 0.907591219065704)"
"(597, 0.932964773992065)"
"(598, 0.950935945996468)"
"(599, 0.8766025551796123)"
"(600, 0.9748101564351024)"
"(601, 0.9399401439519024)"
"(602, 0.9602307802350072)"
"(603, 0.957764348454872)"
"(604, 0.8491382235764645)"
"(605, 0.8452745745093863)"
"(606, 0.9215417921291005)"
"(607, 0.9458577118500446)"
"(608, 0.716198937815323)"
"(609, 0.9515435116671168)"
"(610, 0.9557900314291401)"
"(611, 0.8234787339229056)"
"(612, 0.9273983120258593)"
"(613, 0.9185672222209733)"
"(614, 0.9427359625245607)"
"(615, 0.9431751663312865)"
"(616, 0.8978630182147308)"
"(617, 0.942521262707546)"
"(618, 0.9402614705236686)"
"(619, 0.9547837711830116)"
"(620, 0.8863513203995683)"
"(621, 0.9492435688825177)"
"(622, 0.9613640740772016)"
"(623, 0.9263492514706363)"
"(624, 0.8868335320716804)"
"(625, 0.9357540734903178)"
"(626, 0.9564713887295623)"
"(627, 0.9659107223543117)"
"(628, 0.9602146979894862)"
"(629, 0.8330885946380105)"
"(630, 0.9202901970682051)"
"(631, 0.9165212797094408)"
"(632, 0.9146597212555483)"
"(633, 0.9115030824854269)"
"(634, 0.8810158994719864)"
"(635, 0.9550949773145353)"
"(636, 0.9460601459501106)"
"(637, 0.8837243380686235)"
"(638, 0.9597512506432886)"
"(639, 0.9558206646393353)"
"(640, 0.8937778835635086)"
"(641, 0.9214131471459828)"
"(642, 0.9402081955712183)"
"(643, 0.956042697127136)"
"(644, 0.865694123572081)"
"(645, 0.9158064022212479)"
"(646, 0.9317297564794926)"
"(647, 0.9100330830870015)"
"(648, 0.9135982484233431)"
"(649, 0.9735693034477388)"
"(650, 0.9282640451296937)"
"(651, 0.838324865668027)"
"(652, 0.9459654946652292)"
"(653, 0.886781908332879)"
"(654, 0.8702268637076659)"
"(655, 0.9204458288707668)"
"(656, 0.9292078533606856)"
"(657, 0.9537946302641473)"
"(658, 0.8420384992914821)"
"(659, 0.8671774558429631)"
"(660, 0.964296525352175)"
"(661, 0.7714820661971635)"
"(662, 0.9047419107495367)"
"(663, 0.9512496792967813)"
"(664, 0.9661670125790487)"
"(665, 0.9576434859757021)"
"(666, 0.9234114584786597)"
"(667, 0.8869437238724305)"
"(668, 0.8704666757297909)"
"(669, 0.9539018296795189)"
"(670, 0.9643602265449656)"
"(671, 0.9548804705110991)"
"(672, 0.93593691865287)"
"(673, 0.919176953138363)"
"(674, 0.9442462725010613)"
"(675, 0.9093116648962521)"
"(676, 0.840137681280339)"
"(677, 0.9084703477811134)"
"(678, 0.9585625976000535)"
"(679, 0.9461906363767087)"
"(680, 0.9272135788857976)"
"(681, 0.9721364655740133)"
"(682, 0.9583205480940693)"
"(683, 0.9607078374889282)"
"(684, 0.9764484182367452)"
"(685, 0.9114560104554574)"
"(686, 0.9686577793567928)"
"(687, 0.9509955697907168)"
"(688, 0.9634821051240159)"
"(689, 0.9398714348382584)"
"(690, 0.8943791041856817)"
"(691, 0.8810889624543907)"
"(692, 0.9409108345352251)"
"(693, 0.7358858760761835)"
"(694, 0.9481860542131079)"
"(695, 0.9643412055830592)"
"(696, 0.9641776624751284)"
"(697, 0.8909331216234037)"
"(698, 0.9195392200066993)"
"(699, 0.9134140478171974)"
"(700, 0.9002866532904401)"
"(701, 0.9493540278283722)"
"(702, 0.9208509059901164)"
"(703, 0.9563973938236425)"
"(704, 0.9071773698362474)"
"(705, 0.936505133964196)"
"(706, 0.9010120306581538)"
"(707, 0.9253946097768267)"
"(708, 0.9281221848723865)"
"(709, 0.9116258113916618)"
"(710, 0.9614038294209019)"
"(711, 0.9530039033138137)"
"(712, 0.9062070194340212)"
"(713, 0.8916022846067384)"
"(714, 0.9643929529304273)"
"(715, 0.9156374267654688)"
"(716, 0.8736288897446511)"
"(717, 0.8468741130761627)"
"(718, 0.9593182758175912)"
"(719, 0.965183901762632)"
"(720, 0.9584947560040379)"
"(721, 0.9220967868955271)"
"(722, 0.8779119109842555)"
"(723, 0.8782297631263123)"
"(724, 0.928659748032046)"
"(725, 0.9059301898237001)"
"(726, 0.9071323543935436)"
"(727, 0.9644930669839594)"
"(728, 0.917193297192798)"
"(729, 0.9246994663767397)"
"(730, 0.8828230093512093)"
"(731, 0.9329126685731343)"
"(732, 0.9321179856729465)"
"(733, 0.9591176519027088)"
"(734, 0.9380213222822046)"
"(735, 0.9716914257228975)"
"(736, 0.9121445473345186)"
"(737, 0.9590761184115094)"
"(738, 0.9651194407031132)"
"(739, 0.9514056881965559)"
"(740, 0.9344598039277441)"
"(741, 0.883568048187552)"
"(742, 0.9128601824636536)"
"(743, 0.9424613540552129)"
"(744, 0.9041277935471924)"
"(745, 0.938214031745552)"
"(746, 0.9230155097558591)"
"(747, 0.9390274264700377)"
"(748, 0.953173901400039)"
"(749, 0.9233071691650431)"
"(750, 0.9404002550476285)"
"(751, 0.9033490114955905)"
"(752, 0.8760529109342877)"
"(753, 0.9416062993456423)"
"(754, 0.9372506224604629)"
"(755, 0.9497139561277215)"
"(756, 0.9657430514769915)"
"(757, 0.9034338008163559)"
"(758, 0.9180065528787343)"
"(759, 0.9020549221385522)"
"(760, 0.9704529933551824)"
"(761, 0.8094273807965925)"
"(762, 0.9451862713057335)"
"(763, 0.8331009834224035)"
"(764, 0.8791622346458156)"
"(765, 0.9357100125058231)"
"(766, 0.9228563545125427)"
"(767, 0.9194536318981136)"
"(768, 0.9650314196797892)"
"(769, 0.9544422543955565)"
"(770, 0.9213526499594155)"
"(771, 0.9210826333869169)"
"(772, 0.8673091555863646)"
"(773, 0.9061180799567293)"
"(774, 0.9366859528725257)"
"(775, 0.8423123521497404)"
"(776, 0.9250129683418765)"
"(777, 0.9168936936320145)"
"(778, 0.7326083497548463)"
"(779, 0.9288875050938882)"
"(780, 0.955746760933279)"
"(781, 0.9326919285930676)"
"(782, 0.8655867564240782)"
"(783, 0.9581505289439642)"
"(784, 0.8639852085171963)"
"(785, 0.9281376063116835)"
"(786, 0.8945348574318198)"
"(787, 0.8951966626829923)"
"(788, 0.9045983186305692)"
"(789, 0.9445127325582168)"
"(790, 0.9168824325718777)"
"(791, 0.8497508728180223)"
"(792, 0.7500410375547276)"
"(793, 0.9017037299102315)"
"(794, 0.8288569090088702)"
"(795, 0.970392800490077)"
"(796, 0.9123688796420402)"
"(797, 0.9365207119719801)"
"(798, 0.8412881238449968)"
"(799, 0.9758558016632239)"
"(800, 0.8573737526646243)"
"(801, 0.9617825540695083)"
"(802, 0.9192113545018645)"
"(803, 0.9735610517735264)"
"(804, 0.9023676839048305)"
"(805, 0.8431027964484767)"
"(806, 0.9393068479726494)"
"(807, 0.9405166859138743)"
"(808, 0.9438661984460185)"
"(809, 0.898408796249055)"
"(810, 0.9226513597942195)"
"(811, 0.91555103026828)"
"(812, 0.9195296626908399)"
"(813, 0.9726429047050601)"
"(814, 0.868254811869086)"
"(815, 0.9379899837860098)"
"(816, 0.9211431213776248)"
"(817, 0.9254885373934104)"
"(818, 0.89689511184977)"
"(819, 0.927002206652505)"
"(820, 0.9178102516570048)"
"(821, 0.8735509470091761)"
"(822, 0.9521907444298261)"
"(823, 0.6668532046720498)"
"(824, 0.9586566281918159)"
"(825, 0.9479553436475451)"
"(826, 0.921224369726865)"
"(827, 0.9486195129816329)"
"(828, 0.9490949346655173)"
"(829, 0.9422108781805856)"
"(830, 0.895409825226371)"
"(831, 0.9392419295300145)"
"(832, 0.861780183070611)"
"(833, 0.928739329388972)"
"(834, 0.9413723707921763)"
"(835, 0.9506713054863024)"
"(836, 0.9571561067464074)"
"(837, 0.9208505131508573)"
"(838, 0.8883422664622838)"
"(839, 0.9164927223915713)"
"(840, 0.9083304341481416)"
"(841, 0.942339036074766)"
"(842, 0.9123501693451197)"
"(843, 0.9518145007746229)"
"(844, 0.9071556967596917)"
"(845, 0.9405639116341217)"
"(846, 0.9376162961449477)"
"(847, 0.9347164662743612)"
"(848, 0.9341979279578183)"
"(849, 0.8962755142034117)"
"(850, 0.9672777597826471)"
"(851, 0.9356488243495842)"
"(852, 0.9630458989013966)"
"(853, 0.9490654985128404)"
"(854, 0.8746630053518426)"
"(855, 0.932929199279025)"
"(856, 0.9211696758238865)"
"(857, 0.8905863173103762)"
"(858, 0.9519405813957573)"
"(859, 0.9313196918147288)"
"(860, 0.9102031025527572)"
"(861, 0.7926791389466614)"
"(862, 0.9441773476455918)"
"(863, 0.9545856952653579)"
"(864, 0.9252686023243974)"
"(865, 0.906801844253092)"
"(866, 0.9137844006452812)"
"(867, 0.9526828370752715)"
"(868, 0.8923799169179352)"
"(869, 0.9496111560940417)"
"(870, 0.9292068212418252)"
"(871, 0.9441995967816873)"
"(872, 0.9583780445545717)"
"(873, 0.9300339289534948)"
"(874, 0.9453290461200008)"
"(875, 0.9441298337096606)"
"(876, 0.959755418329162)"
"(877, 0.925074567344645)"
"(878, 0.8070571980221629)"
"(879, 0.9236561792785146)"
